File	GC_Content(%)
split_part_10.fasta	36.62
split_part_11.fasta	26.76
split_part_12.fasta	38.46
split_part_13.fasta	40.85
split_part_14.fasta	28.17
split_part_15.fasta	35.21
split_part_16.fasta	29.58
split_part_17.fasta	40.85
split_part_18.fasta	38.03
split_part_19.fasta	39.44
split_part_1.fasta	45.77
split_part_20.fasta	30.99
split_part_21.fasta	47.89
split_part_22.fasta	56.34
split_part_23.fasta	46.48
split_part_24.fasta	52.11
split_part_25.fasta	50.70
split_part_26.fasta	43.66
split_part_27.fasta	30.99
split_part_28.fasta	29.58
split_part_29.fasta	29.58
split_part_2.fasta	33.65
split_part_30.fasta	47.89
split_part_31.fasta	49.30
split_part_32.fasta	56.34
split_part_33.fasta	47.89
split_part_34.fasta	45.07
split_part_35.fasta	46.48
split_part_36.fasta	39.44
split_part_37.fasta	52.11
split_part_38.fasta	46.48
split_part_39.fasta	52.11
split_part_3.fasta	38.80
split_part_40.fasta	42.25
split_part_41.fasta	43.66
split_part_42.fasta	50.70
split_part_43.fasta	47.89
split_part_44.fasta	53.52
split_part_45.fasta	54.93
split_part_46.fasta	63.38
split_part_47.fasta	52.11
split_part_48.fasta	49.30
split_part_49.fasta	43.33
split_part_4.fasta	40.43
split_part_50.fasta	0.00
split_part_5.fasta	40.85
split_part_6.fasta	38.03
split_part_7.fasta	42.59
split_part_8.fasta	39.71
split_part_9.fasta	30.99
