File	Line Count
split_part_10.fasta	1
split_part_11.fasta	1
split_part_12.fasta	5
split_part_13.fasta	1
split_part_14.fasta	1
split_part_15.fasta	1
split_part_16.fasta	1
split_part_17.fasta	1
split_part_18.fasta	1
split_part_19.fasta	1
split_part_1.fasta	39
split_part_20.fasta	1
split_part_21.fasta	1
split_part_22.fasta	1
split_part_23.fasta	1
split_part_24.fasta	1
split_part_25.fasta	1
split_part_26.fasta	1
split_part_27.fasta	1
split_part_28.fasta	1
split_part_29.fasta	1
split_part_2.fasta	3
split_part_30.fasta	1
split_part_31.fasta	1
split_part_32.fasta	1
split_part_33.fasta	1
split_part_34.fasta	1
split_part_35.fasta	1
split_part_36.fasta	1
split_part_37.fasta	1
split_part_38.fasta	1
split_part_39.fasta	1
split_part_3.fasta	29
split_part_40.fasta	1
split_part_41.fasta	1
split_part_42.fasta	1
split_part_43.fasta	1
split_part_44.fasta	1
split_part_45.fasta	1
split_part_46.fasta	1
split_part_47.fasta	1
split_part_48.fasta	1
split_part_49.fasta	1
split_part_4.fasta	2
split_part_50.fasta	1
split_part_5.fasta	1
split_part_6.fasta	1
split_part_7.fasta	13
split_part_8.fasta	7
split_part_9.fasta	1
